EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 05-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : daily Cloud cover in oktas
23-27 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, GENEVE COINTRIN (STAID: 240).
Blended and updated with sources: 105109 105114 906700 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   CC, Q_CC
105109,19030430,    8,    0
105109,19030501,    8,    0
105109,19030502,    7,    0
105109,19030503,    1,    0
105109,19030504,    7,    0
105109,19030505,    3,    0
105109,19030506,    5,    0
105109,19030507,    6,    0
105109,19030508,    7,    0
105109,19030509,    4,    0
105109,19030510,    7,    0
105109,19030511,    5,    0
105109,19030512,    7,    0
105109,19030513,    1,    0
105109,19030514,    1,    0
105109,19030515,    5,    0
105109,19030516,    4,    0
105109,19030517,    8,    0
105109,19030518,    1,    0
105109,19030519,    0,    0
105109,19030520,    1,    0
105109,19030521,    0,    0
105109,19030522,    0,    0
105109,19030523,    0,    0
105109,19030524,    0,    0
105109,19030525,    0,    0
105109,19030526,    1,    0
105109,19030527,    6,    0
105109,19030528,    7,    0
105109,19030529,    5,    0
105109,19030530,    3,    0
105109,19030531,    6,    0
105109,19030601,    7,    0
105109,19030602,    6,    0
105109,19030603,    5,    0
105109,19030604,    8,    0
105109,19030605,    7,    0
105109,19030606,    0,    0
105109,19030607,    1,    0
105109,19030608,    8,    0
105109,19030609,    7,    0
105109,19030610,    8,    0
105109,19030611,    5,    0
105109,19030612,    4,    0
105109,19030613,    7,    0
105109,19030614,    8,    0
105109,19030615,    5,    0
105109,19030616,    6,    0
105109,19030617,    4,    0
105109,19030618,    7,    0
105109,19030619,    7,    0
105109,19030620,    8,    0
105109,19030621,    8,    0
105109,19030622,    7,    0
105109,19030623,    6,    0
105109,19030624,    6,    0
105109,19030625,    1,    0
105109,19030626,    0,    0
105109,19030627,    2,    0
105109,19030628,    0,    0
105109,19030629,    1,    0
105109,19030630,    6,    0
105109,19030701,    3,    0
105109,19030702,    0,    0
105109,19030703,    5,    0
105109,19030704,    4,    0
105109,19030705,    7,    0
